comment	class	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num	num
image	1	5	3	18	3	2	3	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1
image	2	5	4	21	1	3	3	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	1
audio	3	5	3	14	3	1	2	1	1	0	1	0	1	0	1	1	1	0	1	1	0	1	1
document	4	5	6	28	2	17	3	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1
image	5	5	4	17	1	9	2	1	1	0	1	0	1	0	1	0	1	0	1	1	0	1	1
document	6	5	5	164	1	15	3	1	1	0	1	1	1	0	0	1	1	0	1	1	0	1	1
web	7	7	4	39	1	7	2	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1
image	8	8	3	135	1	9	3	1	1	1	1	0	1	0	0	1	1	0	0	0	1	1	1
image	9	9	2	18	1	7	2	1	1	0	1	0	0	1	0	0	1	0	1	1	0	1	1
presentation	10	5	5	15	1	7	2	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1
document	11	2	2	122	1	1	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1
document	12	3	3	1	1	1	2	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1
document	13	5	4	21	1	23	2	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1
